0.5	284597
1.5	5121
2.5	4758
3.5	5007
4.5	5807
5.5	6861
6.5	7679
7.5	7954
8.5	7961
9.5	7410
10.5	6942
11.5	6749
12.5	6753
13.5	6526
14.5	6554
15.5	6619
16.5	6680
17.5	6411
18.5	6210
19.5	6064
20.5	5824
21.5	5936
22.5	5759
23.5	5841
24.5	5714
25.5	5745
26.5	5768
27.5	5638
28.5	5560
29.5	5676
30.5	5644
31.5	5842
32.5	6267
33.5	8131
34.5	12407
35.5	19494
36.5	25569
37.5	26398
38.5	20845
39.5	13410
40.5	8066
41.5	5809
42.5	5028
43.5	4738
44.5	4706
45.5	4735
46.5	4729
47.5	4731
48.5	4835
49.5	4863
50.5	4980
51.5	5305
52.5	5668
53.5	6078
54.5	6566
55.5	6734
56.5	6604
57.5	6207
58.5	5908
59.5	5393
60.5	5035
61.5	4764
62.5	4635
63.5	4565
64.5	4655
65.5	4688
66.5	4890
67.5	5366
68.5	5887
69.5	6829
70.5	7927
71.5	8685
72.5	8802
73.5	8151
74.5	7394
75.5	6232
76.5	5353
77.5	4853
78.5	4667
79.5	4418
80.5	4639
81.5	4529
82.5	4632
83.5	4564
84.5	4658
85.5	4672
86.5	4625
87.5	4485
88.5	4463
89.5	4625
90.5	4562
91.5	4279
92.5	4391
93.5	4464
94.5	4548
95.5	4585
96.5	4735
97.5	4807
98.5	4998
99.5	5091
100.5	5284
101.5	5211
102.5	5485
103.5	5440
104.5	5341
105.5	5356
106.5	5183
107.5	4897
108.5	4662
109.5	4654
110.5	4557
111.5	4657
112.5	4485
113.5	4529
114.5	4708
115.5	4786
116.5	5005
117.5	5261
118.5	5719
119.5	6120
120.5	7232
121.5	8122
122.5	9770
123.5	11203
124.5	12864
125.5	14695
126.5	16179
127.5	17801
128.5	18160
129.5	18588
130.5	18072
131.5	16884
132.5	15550
133.5	13699
134.5	11885
135.5	10320
136.5	8994
137.5	8030
138.5	7311
139.5	7089
140.5	6702
141.5	6759
142.5	6812
143.5	7242
144.5	7332
145.5	7514
146.5	7761
147.5	7928
148.5	8158
149.5	8217
150.5	8210
151.5	8305
152.5	8000
153.5	8010
154.5	7850
155.5	7476
156.5	7787
157.5	7897
158.5	8127
159.5	8721
160.5	9353
161.5	10637
162.5	11870
163.5	13318
164.5	14928
165.5	16616
166.5	17979
167.5	18841
168.5	19176
169.5	19209
170.5	18872
171.5	17617
172.5	16452
173.5	14716
174.5	13522
175.5	12219
176.5	11072
177.5	10251
178.5	9894
179.5	9656
180.5	9511
181.5	9573
182.5	9868
183.5	10186
184.5	10469
185.5	10488
186.5	11048
187.5	11197
188.5	11203
189.5	11077
190.5	10726
191.5	10231
192.5	9561
193.5	8922
194.5	8152
195.5	7484
196.5	7106
197.5	6561
198.5	6198
199.5	5890
200.5	5864
201.5	5781
202.5	5720
203.5	5761
204.5	5830
205.5	5855
206.5	5970
207.5	5951
208.5	5981
209.5	6154
210.5	6047
211.5	6200
212.5	6427
213.5	6494
214.5	6636
215.5	6985
216.5	7280
217.5	7815
218.5	8217
219.5	8842
220.5	8994
221.5	9676
222.5	10147
223.5	10566
224.5	11054
225.5	11298
226.5	11311
227.5	11376
228.5	11350
229.5	11270
230.5	11069
231.5	10765
232.5	10755
233.5	10628
234.5	10546
235.5	10655
236.5	10614
237.5	10984
238.5	11491
239.5	12044
240.5	12314
241.5	12706
242.5	12958
243.5	13477
244.5	13430
245.5	13289
246.5	13083
247.5	12847
248.5	12832
249.5	13196
250.5	13284
251.5	13976
252.5	14883
253.5	15935
254.5	17414
255.5	19034
256.5	20276
257.5	21570
258.5	22371
259.5	22812
260.5	22987
261.5	22657
262.5	21544
263.5	20007
264.5	18602
265.5	16442
266.5	14718
267.5	12795
268.5	10916
269.5	9544
270.5	8324
271.5	7517
272.5	6850
273.5	6104
274.5	5912
275.5	5643
276.5	5801
277.5	5624
278.5	5569
279.5	5508
280.5	5586
281.5	5605
282.5	5501
283.5	5314
284.5	5311
285.5	5217
286.5	5100
287.5	5060
288.5	4748
289.5	4606
290.5	4419
291.5	4335
292.5	4060
293.5	4017
294.5	3795
295.5	3559
296.5	3531
297.5	3448
298.5	3324
299.5	3107
300.5	3055
301.5	2958
302.5	3000
303.5	2856
304.5	2902
305.5	2847
306.5	2853
307.5	2796
308.5	2791
309.5	2890
310.5	2905
311.5	2813
312.5	2905
313.5	2863
314.5	2849
315.5	2928
316.5	2830
317.5	2897
318.5	2763
319.5	2715
320.5	2732
321.5	2745
322.5	2770
323.5	2648
324.5	2697
325.5	2631
326.5	2663
327.5	2613
328.5	2631
329.5	2555
330.5	2402
331.5	2538
332.5	2536
333.5	2482
334.5	2514
335.5	2587
336.5	2496
337.5	2512
338.5	2422
339.5	2279
340.5	2324
341.5	2273
342.5	2203
343.5	2208
344.5	2146
345.5	2162
346.5	2211
347.5	2129
348.5	2119
349.5	2143
350.5	2137
